student,presentAllTests,filter_045-8h_2-3problems,filter_045-8h_predCeiling,filter_045-8h,complete_twoThirds,filter_predCeiling,test,timeOnTutor,problemsStarted,school,class,condition,condition2,sequence,form,duration,pretest_total,sum_rel_NL,sum_rel_comp,sum_rel_transfer,sum_rel_recUnit,sum_rel_total,sum_rel_NL_transfer,sum_rel_NL_transfer_recUnit,sum_rel_transfer_recUnit,pretest_total_median
Stu_f31040d9446f296e233b468702399173,1,1,1,1,1,1,1,3:03:41,119,4,29,2,moderate,29,3,0:10:00,0.055555556,0,0,0,0.25,0.055555556,0,0.066666667,0.111111111,1
Stu_5db57d25b2f2dc108f34a0f9e2dbec59,1,1,1,1,1,1,1,2:14:17,126,3,28,1,blocked,28,1,0:23:00,0.727777778,0.6,0.666666667,0.833333333,0.833333333,0.727777778,0.706060606,0.74,0.833333333,2
Stu_935d63d16c48ae91df2ae44bd4fb047b,1,1,0,1,1,0,1,3:09:23,126,2,7,2,moderate,7,2,0:27:00,0.790740741,0.733333333,1,1,0.458333333,0.790740741,0.854545454,0.748888889,0.759259259,2
Stu_bb31f0449457cb7b93d7108af032791f,1,1,1,1,1,1,1,3:21:32,126,1,5,1,blocked,5,3,0:24:00,0.662962963,0.6,0.833333333,0.666666667,0.625,0.662962963,0.63030303,0.628888889,0.648148148,2
Stu_6466d8d84d88cebaa4e8b6cfb93599b3,1,1,1,1,1,1,1,2:43:53,126,3,22,1,blocked,22,3,0:28:00,0.362037037,0.1,1,0.25,0.416666667,0.362037037,0.168181818,0.234444445,0.324074074,1
Stu_79f992f66a8803ba4a9d32f8b613a10f,1,1,1,1,1,1,1,2:35:54,126,3,22,1,blocked,22,1,0:23:00,0.218518519,0.1,0.666666667,0.166666667,0.125,0.218518519,0.13030303,0.128888889,0.148148148,1
Stu_f9af6c738084824de9b7e789bc9ced81,1,1,1,1,1,1,1,3:43:54,127,1,5,3,interleaved,5,2,0:21:00,0.591666667,0.566666667,1,0.75,0.125,0.591666667,0.65,0.51,0.472222222,2
Stu_adb6ff10f45b1ef537588cf6e2492865,1,1,0,1,1,0,1,2:09:24,126,1,3,4,increased,3,1,9:13:00,0.933333333,0.8,1,1,1,0.933333333,0.890909091,0.92,1,2
Stu_de32c2cc574a118ab9efc8b58e2622bc,1,1,1,1,1,1,1,2:41:22,126,3,22,2,moderate,22,2,0:27:00,0.782407408,0.666666667,0.5,0.916666667,1,0.782407408,0.780303031,0.838888889,0.953703704,2
Stu_cf299657421a46bf8d0c5d34b142baee,1,1,1,1,1,1,1,3:21:05,126,1,1,2,moderate,1,1,0:21:00,0.42037037,0.233333333,0,0.833333333,0.5,0.42037037,0.506060606,0.504444444,0.685185185,1
Stu_6990bd426ea9e775aaac7cfadbf6f4f1,1,1,1,1,1,1,1,2:20:00,126,4,25,1,blocked,25,2,0:13:00,0.62037037,0.666666667,1,0.833333333,0,0.62037037,0.742424242,0.544444444,0.462962963,2
Stu_3546243c148e1c0fd550487155c2633a,1,1,1,1,1,1,1,2:45:55,126,1,6,2,moderate,6,3,0:25:00,0.688888889,0.566666667,0.5,0.833333333,0.833333333,0.688888889,0.687878788,0.726666667,0.833333333,2
Stu_9f440b0bb661567766c0d9aee899e38c,1,1,0,1,1,0,1,2:08:52,126,1,1,4,increased,1,2,0:23:00,0.933333333,0.8,1,1,1,0.933333333,0.890909091,0.92,1,2
Stu_86441f5569420b118f29b35db58b1302,1,1,1,1,1,1,1,3:24:19,126,4,31,4,increased,31,3,0:19:00,0.181481482,0.266666667,0,0.333333333,0,0.181481482,0.296969697,0.217777778,0.185185185,1
Stu_c8b9cddcb61c0cfb096ef6a8b99a48ee,1,1,1,1,1,1,1,2:44:13,126,1,5,1,blocked,5,3,0:20:00,0.607407407,0.6,1,0.5,0.458333333,0.607407407,0.554545455,0.528888889,0.481481481,2
Stu_ab55a3e9e2dab7ba4110355f1581ef15,1,1,1,1,1,1,1,2:49:32,126,1,1,4,increased,1,1,0:27:00,0.668518518,0.533333333,0.666666667,0.833333333,0.666666667,0.668518518,0.669696969,0.668888889,0.759259259,2
Stu_b48b4a695730c69cf82a2051e588743c,1,1,1,1,1,1,1,6:17:47,126,4,25,1,blocked,25,3,0:09:00,0.538888889,0.7,0.666666667,0.5,0.25,0.538888889,0.609090909,0.513333333,0.388888889,1
Stu_2e9121fd839305a77a508af7a45b5ae7,1,1,1,1,1,1,1,4:05:44,126,2,17,3,interleaved,17,3,0:30:00,0.325925926,0.2,0.333333333,0.5,0.291666667,0.325925926,0.336363636,0.324444445,0.407407408,1
